CustomerID,Recency,Frequency,Monetary,Churn,R_Score,F_Score,M_Score,RFM_Score_Combined,avg_order_value,std_order_value,min_order_value,max_order_value,avg_items_per_order,total_items_purchased,unique_purchase_days,customer_lifetime_days,purchase_frequency_days,days_since_first_purchase,is_uk,value_per_frequency,consistency_ratio,purchase_acceleration
12346.0,205,1,77183.6,1,1,1,4,6,77183.6,0.0,77183.6,77183.6,74215.0,74215,1,0,0.0,205,1,77183.6,0.0,0.0048543689320388345
12347.0,9,124,2790.86,0,4,4,4,12,22.50693548387097,25.042598185206792,5.04,249.6,12.82258064516129,1590,5,237,47.4,246,0,22.50693548387097,1.0653280689177669,0.5020242914979757
12348.0,128,28,1487.24,1,2,2,4,8,53.11571428571428,46.0719184519298,13.2,240.0,75.85714285714286,2124,3,109,36.333333333333336,237,0,53.11571428571428,0.8513593336065801,0.11764705882352941
12350.0,189,17,334.4,1,1,2,2,5,19.670588235294115,7.275538185065964,8.5,40.0,11.588235294117647,197,1,0,0.0,189,0,19.670588235294115,0.35197538174764204,0.08947368421052632
12352.0,141,38,1561.81,1,1,3,4,8,41.10026315789474,74.73218386568321,10.2,376.5,6.684210526315789,254,5,34,6.8,176,0,41.10026315789474,1.7751001599539709,0.21468926553672316
12353.0,83,4,89.0,0,2,1,1,4,22.25,12.215427404174878,11.6,39.8,5.0,20,1,0,0.0,83,0,22.25,0.5253947270612851,0.047619047619047616
12354.0,111,58,1079.4,0,2,3,3,8,18.610344827586207,8.679742086377074,8.5,54.08,9.137931034482758,530,1,0,0.0,111,0,18.610344827586207,0.44261037542629705,0.5178571428571429
12355.0,93,13,459.4,0,2,1,2,5,35.33846153846154,29.70352219466962,17.700000000000003,120.0,18.46153846153846,240,1,0,0.0,93,0,35.33846153846154,0.8174127614959887,0.13829787234042554
12356.0,125,57,2753.08,1,2,3,4,9,48.29964912280702,49.29934558262094,3.75,324.0,27.82456140350877,1586,2,80,40.0,205,0,48.29964912280702,0.999993842954433,0.2766990291262136
12358.0,30,12,484.86,0,3,1,2,6,40.405,29.002461494281356,15.0,80.0,8.333333333333334,100,1,0,0.0,30,0,40.405,0.7004579518000569,0.3870967741935484
12359.0,69,142,3487.33,0,2,4,4,10,24.558661971830986,30.925829463156152,6.959999999999999,290.0,6.654929577464789,945,3,141,47.0,211,0,24.558661971830986,1.2099940715691804,0.6698113207547169
12360.0,80,45,1083.58,0,2,3,3,8,24.079555555555554,28.476265871419976,6.8,160.0,9.644444444444444,434,1,0,0.0,80,0,24.079555555555554,1.1354374206648168,0.5555555555555556
12361.0,166,10,189.9,1,1,1,1,3,18.990000000000002,3.280396317520186,15.0,23.4,9.1,91,1,0,0.0,166,0,18.990000000000002,0.164101866809414,0.059880239520958084
12362.0,35,75,1278.1,0,3,4,4,11,17.04133333333333,6.474723688841619,5.04,45.0,8.64,648,3,140,46.666666666666664,175,0,17.04133333333333,0.358882770425779,0.42613636363636365
12363.0,121,16,299.1,1,2,2,2,6,18.69375,6.93228858314482,13.2,30.0,17.625,282,1,0,0.0,121,0,18.69375,0.3520044980333771,0.13114754098360656
12365.0,170,22,641.38,1,1,2,3,6,29.153636363636362,65.1966351414414,5.04,320.69,7.909090909090909,174,2,0,0.0,170,0,29.153636363636362,2.1621483510381845,0.1286549707602339
12370.0,154,138,2802.66,1,1,4,4,9,20.309130434782606,21.91729175948647,1.25,163.2,14.289855072463768,1972,3,85,28.333333333333332,239,0,20.309130434782606,1.0285399409687395,0.575
12372.0,92,39,914.9200000000001,0,2,3,3,8,23.45948717948718,15.886150530492367,10.08,70.80000000000001,15.179487179487179,592,2,83,41.5,176,0,23.45948717948718,0.6494882911451718,0.22033898305084745
12373.0,190,14,364.6,1,1,1,2,4,26.042857142857144,10.26028296848613,8.5,40.0,14.071428571428571,197,1,0,0.0,190,0,26.042857142857144,0.3794082450047697,0.07329842931937172
12377.0,194,77,1628.1200000000001,1,1,4,4,9,21.144415584415587,15.531661592534688,5.04,80.0,12.25974025974026,944,2,39,19.5,234,0,21.144415584415587,0.7013805143480639,0.3276595744680851
12378.0,9,219,4008.62,0,4,4,4,12,18.30420091324201,8.958342412809236,4.68,69.36,11.547945205479452,2529,1,0,0.0,9,0,18.30420091324201,0.4640618098138486,21.9
12379.0,49,20,459.84,0,3,2,2,7,22.991999999999997,15.942106312661776,10.0,76.19999999999999,10.55,211,1,0,0.0,49,0,22.991999999999997,0.6644759216681302,0.4
12380.0,65,36,607.5500000000001,0,2,3,3,8,16.87638888888889,7.327545741058298,8.5,45.0,8.13888888888889,293,1,0,0.0,65,0,16.87638888888889,0.40990077954797405,0.5454545454545454
12383.0,64,99,1850.56,0,3,4,4,11,18.69252525252525,12.680055152091024,5.04,72.0,15.474747474747474,1532,5,167,33.4,231,0,18.69252525252525,0.6439019368765319,0.4267241379310345
12384.0,1,14,292.69,0,4,1,2,7,20.90642857142857,17.58775693361845,6.64,80.0,4.428571428571429,62,1,0,0.0,1,0,20.90642857142857,0.8028582512330311,7.0
12386.0,217,10,401.9,1,1,1,2,4,40.19,22.821064830546366,17.700000000000003,75.0,35.4,354,2,29,14.5,246,0,40.19,0.5540438172019025,0.04048582995951417
12388.0,27,70,1668.3400000000001,0,3,3,4,10,23.833428571428573,13.388454563942995,9.9,69.36,10.857142857142858,760,4,178,44.5,206,0,23.833428571428573,0.5391303309341151,0.33816425120772947
12393.0,125,39,1061.1000000000001,1,2,3,3,8,27.207692307692312,21.764869504189846,10.2,141.60000000000002,13.384615384615385,522,3,86,28.666666666666668,212,0,27.207692307692312,0.7715934102930678,0.18309859154929578
12394.0,96,21,381.08,0,2,2,2,6,18.146666666666665,7.236679717476333,6.8,33.2,8.666666666666666,182,1,0,0.0,96,0,18.146666666666665,0.3779602916509227,0.21649484536082475
12395.0,41,89,1733.62,0,3,4,4,11,19.478876404494383,13.831956037166114,2.5,72.0,17.910112359550563,1594,7,209,29.857142857142858,250,0,19.478876404494383,0.6754255342900791,0.3545816733067729
12397.0,14,70,1214.81,0,4,3,3,10,17.35442857142857,12.387477622286553,5.04,105.0,10.057142857142857,704,1,0,0.0,14,0,17.35442857142857,0.6749040197072398,4.666666666666667
12399.0,62,47,899.03,0,3,3,3,9,19.128297872340426,10.399812565022705,8.4,70.2,21.340425531914892,1003,3,78,26.0,141,0,19.128297872340426,0.516676205359309,0.33098591549295775
12401.0,182,5,84.3,1,1,1,1,3,16.86,5.419340365764086,10.95,25.5,2.2,11,1,0,0.0,182,0,16.86,0.303434510961035,0.0273224043715847
